,ExKF,3DVar,PO40,SRF20,SRF40,SRF50,LETKF8
time,49.6,1.49,51.9,23.9,53.2,122.0,88.0
rmse,0.2018,0.3871,0.2705,0.2099,0.1636,0.1679,0.19042612894153976
