,10,20,30,40,50
1.0,0.33922086431477594,0.29964326149074566,0.279099038769394,0.2779425487718082,0.2704979781831408
1.05,0.3640236914175825,0.27935743231927757,0.2834167772106178,0.2724813636638562,0.2706967078233114
1.1,0.38787841780480314,0.29144235929771084,0.28174548113007253,0.2743619692135587,0.26906584585887383
1.15,0.33945675575010387,0.29054272595370156,0.2807472533956108,0.27551861841509334,0.2728237275592558
1.2,0.32686307740602194,0.28551079712956273,0.27795004207249635,0.2771479266914321,0.2718917885268143
1.25,0.32437985792944235,0.28845547270096317,0.28131558235951315,0.2738334499079888,0.27376761922306475
1.3,0.3972231105750688,0.2837327921551012,0.2791149719985992,0.2771094665843543,0.27533950105968125
1.35,0.3674800267978054,0.2898023626583515,0.2841738159256643,0.2819317164657588,0.28024658175991585
1.4,0.32796631014092914,0.28855033891625537,0.2850556663772032,0.28216295667600744,0.28201110979017324
1.45,0.3282027936313882,0.29276947049927804,0.28500963105544375,0.2831844738447456,0.28231213399174504
1.5,0.3423254478298887,0.29398035485903523,0.2869398446190568,0.2886738405286558,0.28510856099004184
1.55,0.3329797185480377,0.2991999300563464,0.29541203217640044,0.29266795615437996,0.28828076941708464
1.6,0.326083338203023,0.29741519126505384,0.2978026983753173,0.2955546147140753,0.2944221165086435
1.65,0.33521354602714654,0.303570811864621,0.30284898046992886,0.3007980331534028,0.2985557543800525
1.7,0.3350990669872989,0.30763113920138985,0.30391866902364467,0.3051045130892662,0.3057401869839675
1.75,0.3383265212008726,0.3168855525353054,0.30756023990329506,0.3110605051083783,0.3081051121866875
1.8,0.3395098072044149,0.3123229770659669,0.31813698070993507,0.316900170442693,0.3133098692721286
1.85,0.33582787329601016,0.32300943743578103,0.32292137252565506,0.3206652501056307,0.31986464525762875
1.9,0.3400135005507201,0.32962773593847794,0.3250132484254171,0.32899314262654594,0.3285776740549924
1.95,0.34854279224511114,0.3319068096749105,0.3345454260658845,0.3321823209473548,0.33497463414205375
